,objectid,bezeichnung,nr_stadtbezirk,stadtteil,anzahl,bemerkung,x,y,type
398,3842,Am Wildpark/Dünnwalder Mauspfad,9,Dünnwald,2,Parkplatz Dünnwalder Mauspfad/Am Wildpark,7.046470832182922,50.992929828037745,disabled parking slot
399,3843,Pohlmanstr. 13,5,504,1,Vor Beratungsstelle Pohlmanstr.13,6.96755740526424,50.97638947027381,disabled parking slot
400,3844,Stolberger Str.,3,Braunsfeld,1,Vor Stolberger Str. 309,6.89385832362425,50.94210325984417,disabled parking slot
401,4161,Margaretastr. 8,4,Ossendorf,1,vor Margaretastr. 8,6.906695475130626,50.96769982778774,disabled parking slot
402,4162,St.-Martin-Str. 1,7,Zündorf,1,gegenüber St.-Martin-Str. Friedhof,7.0353124958213575,50.863002007969854,disabled parking slot
403,4481,Berliner Str. 76,9,Mülheim,1,Berliner Str. vor Nr. 76,7.011035977095376,50.972269471820965,disabled parking slot
404,4801,Haselnußweg 39,6,Heimersdorf,1,Rückseite Aufbaugymnasium,6.90684243405285,51.010960772757514,disabled parking slot
405,4803,Urbanstr. /An St.Heribert,1,Deutz,3,Platzfläche An St.Heribert,6.969737834760773,50.937762271851106,disabled parking slot
406,5122,Weißenburgstr. 31,1,Neustadt/Nord,1,Weißenburgstr. 31,6.958222580850281,50.95414609499277,disabled parking slot
407,5458,Pfarrer-Oermann-Platz,7,Eil,1,Pfarrer-Oermann-Platz,7.0781154879684784,50.893709220040044,disabled parking slot
408,5460,Escher Str. 160,5,Bilderstöckchen,1,Escher Str. 160,6.934410989247808,50.96422733862358,disabled parking slot
409,5461,Osloer Str. (Wendehammer),6,Chorweiler,1,Osloer Str. 7,6.8985042833477594,51.023173452866914,disabled parking slot
410,5463,Peter-Baum-Weg 24,9,Mülheim,2,Peter-Baum-Weg 24,7.059866304580416,50.99477089764451,disabled parking slot
411,5761,Ludwigstr. 8,1,Altstadt/Nord,1,Ludwigstr. 8,6.955141227260209,50.93885197999028,disabled parking slot
412,6081,Sürther Hauptstr. 124,2,Sürth,2,vor der Kirche St. Remigius,7.0115938881844695,50.8645678321947,disabled parking slot
413,6082,Große Sandkaul/Gürzenichstr.,1,Altstadt/Nord,2,Große Sandkaul 18,6.956934422437056,50.936445762831795,disabled parking slot
414,6083,Schaevenstr. 4,1,Altstadt/Süd,1,Schaevenstr. 6,6.941903032403802,50.93338795003464,disabled parking slot
415,6084,Brüderstr. 7,1,Altstadt/Nord,1,Brüderstr. (Ecke Kreuzgasse),6.951561242526257,50.93711667489206,disabled parking slot
416,6085,Brüderstr. 3,1,Altstadt/Nord,2,Brüderstr. 3,6.952058100782252,50.937117589604625,disabled parking slot
417,6086,Olpener Str. 61-63,8,Höhenberg,1,Olpener Str. 61,7.022467908092368,50.94035062692144,disabled parking slot
418,6087,Jakobstraße/Seitenfront Isabellenstr. 1,1,Altstadt/Süd,2,Jakobstraße 54,6.956289853147696,50.92539990077462,disabled parking slot
419,6407,Kierberger Str. 24,2,Zollstock,1,Kierberger Str. 24,6.94604393449992,50.910288264116254,disabled parking slot
420,6727,Friedhofsweg,3,Lindenthal,1,Am Eingang Friedhof Widdersdorf,6.829347773398328,50.96476973527876,disabled parking slot
421,6728,Gleueler Str. ,3,Lindenthal,1,Gleueler Str. vor Unireha,6.916132454168667,50.9263266563789,disabled parking slot
422,7128,Schanzenstr. (vor E-Werk),9,Mülheim,1,Schanzenstr. (vor E-Werk),7.015854286974058,50.96921797525622,disabled parking slot
423,7129,Höninger Platz 25,2,Zollstock,1,Höninger Platz 25,6.944057821372302,50.900590933895245,disabled parking slot
424,7528,Hermann-Pünder-Str.,1,Deutz,2,Hermann-Pünder-Str.,6.970284927518997,50.93984548582492,disabled parking slot
